names,keywords,socials
Airani Iofifteen,"['youtube', 'indonesia', 'twitter', 'first', 'japanese', 'indonesian', 'iofi', 'aragami oga', 'airani iofifteen', 'moona', 'risu', 'english', 'sora', 'airani', 'moona hoshinova', 'ayunda risu', 'second', 'third', 'the day', 'fourth', 'frontier', 'kureiji ollie', 'korean', 'bang dream', 'virtual youtuber', 'vtubers', 'anak alien biasa', 'vcd', 'alien alien', 'nayutalien', 'independence day', 'bersama ioforia', 'rikka', 'gen', 'two', 'the year', 'showcase', 'october', 'indonesea', 'comifuro virtual', ""crunchyroll expo 's"", 'kira kira collab', 'arurandeisu', 'kira kira family', 'kira kira club', 'shirakami fubuki', 'unidemons', 'deep blizzard miyuki', 'watafi', 'tsunomaki watame', 'zombilien', 'astel leda', 'ogabisa', 'zepi', 'vestia zeta', 'iollie', 'sundanese', 'german', 'one', '\\uace0\\ub9c8\\uc6cc', 'anime, video games', 'hiragana', 'katakana', 'kanji', 'idolm@ster', 'roselia', 'minato yukina', 'tonsillitis', 'one', 'tokino sora', 'otaku', 'monthly', 'otaku radio', 'iosoradio', 'tweet', 'one day', 'the morning', ""airani iofifteen's"", '@airaniiofifteen', 'facebook', '@airani_iofifteen - tiktok', '#', 'art tutorials', 'airani iofifteen - hololive fan wiki']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/c/cb/Airani_Iofifteen_-_Portrait.png/revision/latest/scale-to-width-down/350?cb=20200427135833'], ['youtube', 'https://www.youtube.com/channel/UCAoy6rzhSf4ydcYjJw3WoVg'], ['twitter', 'https://twitter.com/airaniiofifteen']]"
RonaRona,"['twitch', 'korean', 'virtual youtuber', 'youtube', 'cafe naver', '#']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/0/07/RonaRonaPortrait.png.png/revision/latest/scale-to-width-down/350?cb=20220110040542'], ['youtube', 'https://www.youtube.com/channel/UCcMiI7JHjS2ONfV2PBuUabQ']]"
Dering,"['korean virtual youtuber', 'nextfloor', '\\uc778\\uc0ac\\ub4dc\\ub9bd\\ub2c8\\ub2e4~', 'dering', 'youtube']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/2/23/Dering.jpg/revision/latest?cb=20180902234818']]"
Vestia Zeta,"['zeta', 'youtube', 'indonesia', 'first', 'twitter', 'indonesian', 'third', 'kobo kanaeru', 'bazo', 'greek', 'vestia zeta', 'japanese', 'vestia', 'axel', 'hunter', 'virtual youtuber', 'vtubers', 'kaela kovalskia', 'mission-', 'the secret archive unit', 'axel syrios', ""kureiji ollie 's"", 'her debut week', 'irys', 'this date', 'aimer', 'valorant', 'kobo', 'second', 'id', 'bebas', 'iwa k.', ""crunchyroll expo 's"", 'frontier', 'zecretary', 'zetaibou', 'secret unit', 'zepi', 'airani iofifteen', 'zenya', 'anya melfissa', 'bozet', 'moona hoshinova', 'takobazo', ""ninomae ina'nis"", 'tako', 'zetame', 'watson amelia', 'latin', 'vesta', 'sixth', 'omega\\u03b1', 'holostars', 'hizaki gamma', 'katakana', '\\u30d9\\u30b9\\u30c6\\u30a3\\u30a2\\u30fb\\u30bc\\u30fc\\u30bf\\u300d', 'katakana', 'three', '\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588', '\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588\\u2588', 'hakos baelz', 'bleach', 'blue lock', 'gitama', 'haikyuu', 'inazuma eleven', 'kami', 'katekyo hitman reburn!', 'koe no', 'katachi', 'kuroko no basket', 'magi', 'one', 'piece', 'psycho pass.', 'psyren', 'the korean manhwa solo levelling', 'fps', 'apex and valorant', 'moon', 'jump king', 'mafia', 'smash bros', 'cooking simulator', 'mother simulator', 'mission report', 'meme review', 'late night', 'asmr', 'apex masters', 'yorumi rena', 'ryu hari', 'nijisanji', 'kurune kokuri', 'yashiki ciel of buisen', 'mizuboshi yamu', 'english', 'korean', '@vestiazeta_hololiveid - twitch', ""vestia zeta's""]","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/b/b6/Vestia_Zeta_Portrait.png/revision/latest/scale-to-width-down/350?cb=20220324053909'], ['youtube', 'https://www.youtube.com/channel/UCTvHWSfBZgtxE4sILOaurIQ'], ['twitch', 'https://twitch.tv/vestiazeta_hololiveid'], ['twitter', 'https://twitter.com/vestiazeta']]"
Juninya,"['juni', 'twitch', 'vtuber', 'a "" dere archetype', 'four', 'youtube', 'tiktok', 'the existential crisis of a singular boba', 'the boba store', 'next', 'approximately twenty minutes', 'juninya', 'powerpoint', 'one', 'goonie', 'vtuber', 'nyakuza']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/3/33/Juninya_L2D.jpg/revision/latest/scale-to-width-down/266?cb=20210818072914'], ['twitch', 'https://www.twitch.tv/juninya'], ['youtube', 'https://www.youtube.com/channel/UCZ-S4vuHXwv0fHmpsnwUPrg'], ['twitter', 'https://twitter.com/juninya_vt']]"
Lorou,"['lorou', 'nijisanji', 'kaen', 'hakuren', 'e&c', 'nijisanji kr', 'bgm', 'han chiho', 'korean virtual youtuber', 'korean', 'virtual youtuber', 'the virtual youtubers', 'youtube', 'twitter', 'first', 'gaon', 'moarin', 'yu ruri', 'lucia', 'ena', 'alice mana', ""ujico/snail's"", 'house', 'camellia', 'tokyo machine', 'lorou', 'twitter account']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/6/6e/Lorou_Headshot.png/revision/latest?cb=20200521065414'], ['youtube', 'https://www.youtube.com/channel/UCLSzgV37Dt24T8p3-TNiSLg'], ['twitch', 'https://www.twitch.tv/lorou'], ['twitter', 'https://twitter.com/LOROU_vtuber']]"
Ha Yun,"['yun', 'nijisanji', 'yukishiro mahiro', 'munya', 'ha yun', 'sixth', 'na sera', 'lee', 'second', 'four', 'apex legends shibuya hal custom', 'korean', 'korean virtual youtuber', 'ko yami', 'his school year every year', 'twitter', 'first', 'nijisanji id', 'nagi', 'meltstera', 'gamewith', 'apex legends reignite cup', 'lee siu', 'ban hada', 'cyian', 'apex legends', 'makio chiharu custom', 'elu', 'shiromanta', 'yorumi rena', 'saikyou ketteisen', 'shibuya hal', 'niji', 'coke zero', 'oliver evans', 'two', 'discord', 'suha', 'hada', 'hayun', 'yumeniki', 'apex', 'youtube', '#hayun_live - clips', '#hayun_voice - voice  ']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/2/2a/Ha_Yun_Portrait.png/revision/latest/scale-to-width-down/350?cb=20210923083812'], ['youtube', 'https://www.youtube.com/channel/UCrhhJPNsOqzNIkUfTABoSpg'], ['twitch', 'https://www.twitch.tv/hayun2434'], ['twitter', 'https://twitter.com/HaYun2434']]"
Ninomae Ina'nis,"['ina', 'english', 'japanese', 'first', 'twitter', 'gawr gura', 'youtube', 'takanashi kiara', 'takodachi', 'holomyth', 'one', '-myth-', 'ninomae', ""ninomae ina'nis"", 'watson amelia', 'mori calliope', 'lovecraftian', 'four', 'third', 'second', 'two', 'kimono', 'humu', 'oopsie', 'hololive -myth-', 'myth', 'minato aqua', 'houshou marine', 'umisea', 'en', 'amelia', 'fourth', 'journey like a thousand years', 'bloop', 'inanis', 'latin', 'the ancient ones', 'ao', 'necronomicon', 'fate/grand order', 'one-year', 'virtual youtuber', ""holomyth  ina'nis's"", 'revision original         ina', 'amelia, ina', 'cover corporation', 'three months', 'the same month', 'the same day', 'dragon quest', 'walfie', 'violet', 'a week', 'a super mario party', 'ina, gura', 'mid-september', 'myth or treat', 'halloween', 'calli', 'council', 'the new year', 'tako', 'one', 'the lower half', 'irys', 'the same day', ""ninomae ina'nis/discography     "", 'their six months', 'bgm', 'camellia', 'kanalumi', 'dokomi', 'digikomi', 'omocat', ""valkyrie connect's"", 'usada pekora', 'la+ darknesss', ""crunchyroll expo's"", 'the ""ancient ones', 'burrito', 'takotori', 'sakamata chloe', 'tsunomaki watame', 'kureiji ollie', 'anya melfissa', 'takobazo', 'tako', 'vestia zeta', 'bazo', 'a better month', 'a better year', 'time', 'tomorrow', 'inanisu', 'chinese', 'fortuna', ""carl orff's"", 'carmina burana', ""final fantasy vii's"", 'calliope mori']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/4/46/Ninomae_Ina%27nis_Portrait.png/revision/latest/scale-to-width-down/350?cb=20200910192748'], ['youtube', 'https://www.youtube.com/channel/UCMwGHR0BTZuLsmjY_NT5Pwg'], ['twitter', 'https://twitter.com/ninomaeinanis']]"
Mino Mieko,"['mieko', 'vtubing', 'youtube', 'two', 'one', 'first', 'canadian', 'english', 'cantonese', 'mandarin', 'japanese', 'korean', 'intro', 'acoustic', ""mino mieko's"", ""hammer-kun'"", 'png', 'makino mieko', 'maplestory', 'henry stickmin', 'bangdream', 'karaoke', ""higanbana familia'"", 'mino mieko', 'bgm', 'nintendo switch', 'blue clapper', 'hololive', 'higanabana familia', 'ai kotoba', 'hatsune miku', 'sakura himegimi', 'calliope mori', 'gawr gura', 'mite mite!', 'de~', 'kdramas/korean', 'shih tzus', 'nutmeg', 'nacho', 'chinese', 'pok\\xe9mon', 'togepi', 'piplup', 'happiny and sylveon  mieko', 'one night', 'second', 'mino mieko ch', 'streamelements', 'miekolour', 'mieklips - clips', '#dummino - memes        ']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/1/18/MinoMieko.png/revision/latest/scale-to-width-down/350?cb=20221113064945'], ['youtube', 'https://www.youtube.com/c/MinoMieko'], ['twitter', 'https://twitter.com/mino_mieko']]"
Sora Orbit,"['sora', 'twitch', 'english', 'korean', 'seoul', 'lol & genshin', 'first', 'youtube', 'tiktok', 'sora', '\\u2726', 'discord', '#soraillust - fan art     ']","[['image', 'https://static.wikia.nocookie.net/virtualyoutuber/images/e/e7/Sora_Orbit.png/revision/latest/scale-to-width-down/350?cb=20221122132320'], ['twitch', 'https://www.twitch.tv/soraorbit'], ['youtube', 'https://www.youtube.com/channel/UCRZa7MbC4-kN2hBFiyxMLEQ'], ['twitter', 'https://twitter.com/soraorbit']]"
